Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x )
Amanda Lee,amandaeliselee,11615007,2021-04-24 20:23:02 EDT,2021-04-24,20:23:02,Album,"97,713",97097,616,0,https://www.instagram.com/p/COEZTUZl8zE/,https://www.instagram.com/p/COEZTUZl8zE/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/176296718_1146344475885292_8923008607592276328_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=CgezVMb7OD4AX-GgwS2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=b8bcbf03fd85172b6c54b9e6745dc303&oe=60A87BE6,,Value anyone who supports you with nothing to gain from it 💗 @fashionnova FashionNovapartner,,,,-1.79
Amanda Lee,amandaeliselee,11635049,2021-04-06 20:23:40 EDT,2021-04-06,20:23:40,Video,"13,439",13198,241,136336,https://www.instagram.com/p/CNWDCsmF2wt/,https://www.instagram.com/p/CNWDCsmF2wt/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/169630824_3906747562726682_2767332418735874762_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=ERmuQ2XLc2sAX_ZL0bQ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2aee93c45d2ca8185e129c7c95f48e6a&oe=609444B0,,"Flat abs plank workout 🖤 These are some of my fav exercises for strengthening my core after having my baby girl 💪🏻
-
Workout fueled by @Redline_Energy princess 
Thank you to the inventor @BangEnergy.CEO
#BangEnergy #EnergyDrink #redline",Crunch and extend plank 15 reps per side IIII,,,-4.81
Amanda Lee,amandaeliselee,11632799,2021-04-02 15:47:02 EDT,2021-04-02,15:47:02,Album,"116,204",115301,903,0,https://www.instagram.com/p/CNLQOhBlq0u/,https://www.instagram.com/p/CNLQOhBlq0u/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/168570326_271346437817585_6082712984528868059_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=5aQ_nj3HcBoAX-l1_Cv&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=0936dcc602211bd344210eae444c50d8&oe=6095DEA9,,You will ruin your body if you have a baby they said.... set from @fashionnova FashionNovapartner,,,,-1.89
Amanda Lee,amandaeliselee,11647660,2021-03-27 15:37:33 EDT,2021-03-27,15:37:33,Album,"165,667",164463,1204,0,https://www.instagram.com/p/CM7yXxGFsiM/,https://www.instagram.com/p/CM7yXxGFsiM/,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/165656126_3834095430017164_3674383454278998256_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=FI33xU9a0L0AX9MNRgV&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=c2e8a266bdd1c17dbbf4c5f7d60a8b67&oe=6086C601,,You’d be surprised what you attract when you start believing in what you deserve 🤎 @fashionnova FashionNovapartner,,,,-1.33
Amanda Lee,amandaeliselee,11658309,2021-03-22 18:18:57 EDT,2021-03-22,18:18:57,Album,"214,826",213553,1273,0,https://www.instagram.com/p/CMvM3oOl1qw/,https://www.instagram.com/p/CMvM3oOl1qw/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/163329591_259143342481612_5094552012728103312_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=0suAJEXkhjoAX8lB4vq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=165f966d0e8014ddcd06c5a22f643124&oe=6084C306,,"Lowkey, focused  and caffeinated ♥️ Happy 5th birthday @loungeunderwear !",,,,-1.02
Amanda Lee,amandaeliselee,11661542,2021-03-02 19:32:58 EST,2021-03-02,19:32:58,Photo,"132,028",131081,947,0,https://www.instagram.com/p/CL78TmYlw1F/,https://www.instagram.com/p/CL78TmYlw1F/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/155935975_290581379083607_7353048231602430115_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=E8WoxT5u7oMAX8QonTq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=336a45710e69ddfc7a102d52baa0e2ba&oe=608FA9BF,,The best full time job 🥰 @fashionnova FashionNovapartner,,,,-1.72
Amanda Lee,amandaeliselee,11615629,2021-02-19 16:53:24 EST,2021-02-19,16:53:24,Video,"28,190",27912,278,244420,https://www.instagram.com/p/CLfUiieFQ_Y/,https://www.instagram.com/p/CLfUiieFQ_Y/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/152493510_1057050504794164_5454045022464856200_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=a3p_daTao8MAX9pQ04a&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=7291e8542b59ec2a2164d7b4d0a542ff&oe=60A6035A,,Working on getting my waist & abs snatched again with a little help from @whatwaistofficial,,,,-2.33
Amanda Lee,amandaeliselee,11637167,2021-02-12 17:48:29 EST,2021-02-12,17:48:29,Album,"244,119",242440,1679,0,https://www.instagram.com/p/CLNaCnVFb04/,https://www.instagram.com/p/CLNaCnVFb04/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/148806680_172328011071003_6744558900257363048_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=v2vnT8KbCB8AX84Ylv8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2c48f8c9880d72c621e40c9bd9daa402&oe=60917B67,,a good book and a glass of wine ♥️ ready for vday in @loungeintimates,,,,1.11
Amanda Lee,amandaeliselee,11706693,2021-02-09 17:15:26 EST,2021-02-09,17:15:26,Album,"30,828",30326,502,0,https://www.instagram.com/p/CLFn373FtnH/,https://www.instagram.com/p/CLFn373FtnH/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/147568362_465015971334604_1183822634337846760_n.jpg?_nc_cat=1&ccb=3&_nc_sid=8ae9d6&_nc_ohc=5d9R5q_lNFYAX_lnjUz&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=47440d0121b81fc95565dec293cf19fe&oe=60488741,,Thank you @patty.othon for capturing these adorable photos of our angel Kaia 👼🏼💕,,,,-7.13
Amanda Lee,amandaeliselee,11722273,2021-02-01 18:37:23 EST,2021-02-01,18:37:23,Album,"189,536",188374,1162,0,https://www.instagram.com/p/CKxK5LKl-KP/,https://www.instagram.com/p/CKxK5LKl-KP/,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/144736070_421555645728016_5782434898396375678_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=FZVtGrpY_s0AX8JpaEv&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=ebf422b958256cb916e9eee26621802a&oe=60646798,,New energy 🤎 @fashionnova FashionNovapartner,,,,-1.16
Amanda Lee,amandaeliselee,11740601,2021-01-26 16:11:22 EST,2021-01-26,16:11:22,Photo,"232,050",230353,1697,0,https://www.instagram.com/p/CKhdabTly8l/,https://www.instagram.com/p/CKhdabTly8l/,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/142984120_1307690942939041_6451290867700856082_n.jpg?_nc_cat=100&ccb=3&_nc_sid=8ae9d6&_nc_ohc=ldiMTWvzdocAX9Pks-D&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=a4c6d69120005b43e4abd9303d96da30&oe=60641C0C,,"8 months pregnant vs 3 weeks postpartum 🤍 I worked out throughout my entire pregnancy so the weight came off pretty quickly ( I gained about 20 lbs) . My abs were definitely flatter and more defined before so I have to work on getting them back! Otherwise I feel amazing and so blessed to have my beautiful, happy and healthy baby girl 👼🏼✨",,,,1.02
