Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Interaction Rate,Interaction Rate (weighted  —  Likes 1x Comments 1x ),Overperforming Score
"lucy, chief nob",lucymountain,462598,2021-04-02 11:18:37 EDT,2021-04-02,11:18:37,Photo,"60,318",59721,597,0,https://www.instagram.com/p/CNKxgpPlP9k/,https://www.instagram.com/p/CNKxgpPlP9k/,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/167169676_355086962496083_5138423959902199497_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=dqIHmv4dMS0AX_wSvve&_nc_ht=scontent-lax3-2.cdninstagram.com&oh=11fe4778029f4adddfe35b7116940200&oe=608CD597,,"good afternoon to everyone apart from fit pros who make you feel like a piece of shit for eating mini eggs 🥰🥰🥰 if you’re celebrating, enjoy your bloody weekend. #HappyEaster",calories in easter chocolate stop being a SMArTIES dick yourself to @lcymounhar enjoy your easter,,,13.04,13.04,5.41
Stephanie Joshi,nuttyfoodiefitness,302050,2021-03-30 17:03:04 EDT,2021-03-30,17:03:04,Photo,"37,655",37410,245,0,https://www.instagram.com/p/CNDqiu9hoWf/,https://www.instagram.com/p/CNDqiu9hoWf/,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/166182956_983774152367222_1062154825790364039_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=QlF_vPa-5voAX84tyEB&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=14f8ca4836b95e90fa74bc6ed0795d10&oe=608A7E10,,"One minute I’ve got an itty bitty waist.. next minute my stomach sticks out more than my butt 😳😅
-
In the nicest way possible before experts diagnose my very own bod let me just state this: 
1. I don’t suffer from IBS
2. I’m not in any physical discomfort 3. I don’t binge/ this was not a result of eating loads of ‘crap food’ 
4. I’m not intolerant to any type of food, except slightly allergic to bs 
-
Let me also just point out that for sure, on the left I’m standing in a way to accentuate my body (let me work the angles ok xx). The right, I’m just straight up taking a pic to show you that I too look like this at certain points in the day. Now if you are perplexed by these photos, this is a result of consuming a high volume of (healthy*) food - oh & alot of drink. I’m making this post because people assume I look the way I do in my posts 24/7 or misinterpret these posts of mine. When you eat food it has to go somewhere *meet the food baby*. Also, the leaner a person is, the more visible said food baby becomes. Infact, upon taking these (after food) pics my bf often mocks me for how visible the meal is, as if he can make out the smoked salmon & grains are slowly making their way down my bod 😂😂 but then in contrast you’d never be able to tell if he’s eaten or not if we were to compare even straight after eating the same meal. I guess I just wanted to remind you that our body’s fluctuate throughout the day & it’s normal so don’t feel bogged down for looking different at the end of the day Vs the morning. 💕
Ps. Of course if you experience discomfort / other symptoms upon eating certain foods, get this checked. I’m only sharing my personal experience as we are all different. But food does have to still go somewhere.. xxxxxxxx
#transformation 
#queuethecommentsofshelooksbetterinsecondpic #lol #foodbaby",,,,12.47,12.47,3.01
Diren Kartal,diren.kartal,212422,2021-04-16 03:27:35 EDT,2021-04-16,03:27:35,Album,"23,640",23437,203,47153,https://www.instagram.com/p/CNt-u8Gh9Ck/,https://www.instagram.com/p/CNt-u8Gh9Ck/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/173186081_282050783520361_5680486065049575937_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=n3iOKh5Mq_YAX_BN0kG&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=3e5e9c3fdafbec5e0f82c1ee8fcfe35d&oe=609EF9F0,,"Thank you Australia 🇦🇺 ❤️

The whole purpose of me being here was too support and open the tour for the bro and now that is completed it’s time for me to go home

I first came to Australia when I was 17 and I’ll always have a connection here and although I love visiting and seeing friends I’ve never been happier to go home to London to my family and friends.

I loved every minute of it from the moment I did my two week quarantine which I loved 😂 all the way up to the last event

Thank you to each individual that came to the shows, thank you Austrailia for letting me in and thank you for allowing me to have some normality.

I can’t wait to land in London and start a new chapter of this crazy journey ❤️

Australia, New Zealand I’ll see you at the end of the year 

#neatup247 👊🏼",,,,11.13,11.13,6.07
Ben Carpenter,bdccarpenter,150773,2021-03-30 15:52:24 EDT,2021-03-30,15:52:24,Photo,"13,403",13125,278,0,https://www.instagram.com/p/CNDidRcjn4H/,https://www.instagram.com/p/CNDidRcjn4H/,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/166777054_557322231910896_8371916892330478675_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=LT_6IKaJ5PwAX_oovxR&_nc_ht=scontent-lax3-2.cdninstagram.com&oh=c751d42b2fa2fb7c82a94d01fdc871c3&oe=608AD915,,"I started my personal training course as an 18 year old who fucking loved the gym.

When I started training clients, most of the other personal trainers I knew were in the same boat. They already had the basics nailed down and were looking at fine tuning the little details to get the most from their fitness plan.

If something was ""optimal"", we wanted to know. Was there a “best” time of the day to train? Did organic vegetables have a higher micronutrient content than conventional? Is consuming 1.8g/kg/day protein better than 1.6g/kg/day?

One day, I was training a client and they said ""I will never get good results in the gym. I don't want to be as meticulous as you are. I still want to go out for drinks and pizza with my friends. I still want to have a social life"".

Right then I had the big slap in the face I needed to realise that I worried about a lot of shit that just didn't matter for most people.

On social media, we are constantly discussing ""optimal"" macronutrient splits, whether HIIT is ""better"" than low intensity cardio, whether eating 6 meals per day might offer a teeny tiny bit of a ""metabolic advantage"" than eating 3 meals per day and other shit like that.

For a lot of people, nutrition and training advice is confusing as fuck and they just need to know where to begin.

While we sometimes engage in mental masturbation over the finer details, ask yourself these questions?

- What percentage of people exercise more than 3 times per week?
- What percentage of people are not eating enough fruits and vegetables?
- What percentage of people would benefit from just eating more protein, without worrying about whether they should spread their meals out to optimally raise muscle protein synthesis levels or whether their last meal hit the magical leucine threshold?
- What percentage of people would benefit from focusing more on unprocessed foods, rather than getting scalded for eating a single Krispy Kreme doughnut

Let’s not focus so much on what is “best” if it comes at the expense of just telling people what is “better”.","Ben Carpenter @bdccarpenter Theory: Lots of people enter the fitness industry because they are hardcore exercise enthusiasts, not realising they have no fucking idea on how to empathise with people who aren't hardcore exercise enthusiasts.",,,8.89,8.89,3.3
Sascha Barboza,saschafitness,4384116,2021-04-11 15:12:06 EDT,2021-04-11,15:12:06,Album,"387,147",383613,3534,0,https://www.instagram.com/p/CNiXYjvgB7Y/,https://www.instagram.com/p/CNiXYjvgB7Y/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/172608377_563786074597608_1567733408384589920_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=PRY62NT3xiQAX-Q0Sec&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=0751cc878f09e6bf7a688b18caab0b1c&oe=60975D48,,Embarazada y entaconada💃🏼💁🏼‍♀️😋,,,,8.83,8.83,2.83
Mari Llewellyn,marillewellyn,1501323,2021-04-11 15:35:59 EDT,2021-04-11,15:35:59,Photo,"125,812",104453,21359,0,https://www.instagram.com/p/CNiaHfrM9l3/,https://www.instagram.com/p/CNiaHfrM9l3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/172727711_1536663373198884_8697711503755152561_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=QWCq-AMS7i8AX_3hOgO&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c19bf43e68ef124a091b6cc2cfe161af&oe=6099FADD,,"Win over $1,000 worth of goodies 🎁⁣⁣⁣
⁣⁣⁣
RULES:⁣⁣⁣⁣
1️⃣ Follow @bloomsupps & @theslayapp (I’m checking 😉)⁣⁣⁣
2️⃣ Like & Save this Post⁣⁣⁣⁣
3️⃣ Tag 2 friends in the comments ⁣⁣⁣
⁣⁣⁣
PRIZES:⁣⁣⁣⁣
💚 1st Place: A $300 Target gift card + ANY 5 @bloomsupps products from our website (must be in stock! Bundles excluded.) PLUS A FREE year subscription to @theslayapp 😍⁣
⁣⁣
💚 2nd Place: Any 5 @bloomsupps products from our website (must be in stock! Bundles excluded.) Plus a @theslayapp band!⁣⁣⁣
⁣⁣⁣
Winners will be announced on my story Wednesday 4/14 at 5PM PST! 💪🏼🎉 Go go gooooo!!!!!",,,,8.38,8.38,3.63
Nastya Nass,nastya_nass_,8366648,2021-04-09 11:18:05 EDT,2021-04-09,11:18:05,Video,"653,632",648952,4680,3022690,https://www.instagram.com/p/CNcywygF0ps/,https://www.instagram.com/p/CNcywygF0ps/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/170682034_3860447617325835_9140715222674919459_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=o5j_S8FRHJAAX_GG1ik&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=953c6bd09dca983dbe75463ec9cebc3c&oe=60978966,,"Happy Friday guys 🤪Check out my new shorts collection🥳 
@nass_shop_ 
🎥 @mytypolife 
🎵 @elalfaeljefe @tyga #trapPea 

P.S. Sorry for being silent, I’ve been working on some new project 🤫 Stay tuned for the details",,,,7.81,7.81,1.22
Sascha Barboza,saschafitness,4379704,2021-04-03 19:30:02 EDT,2021-04-03,19:30:02,Photo,"337,205",335217,1988,0,https://www.instagram.com/p/CNOOivUgGfz/,https://www.instagram.com/p/CNOOivUgGfz/,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/167675597_787512932179837_2724005863712987054_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=6_-lXd4prjsAX9qv8Hd&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=f09475f0a24789b3192a0b6f6fc6fbf0&oe=608E4D70,,Date night💁🏼‍♀️❤️🤰🏼 #Bahamas #15weekspregnant,,,,7.7,7.7,1.74
Sascha Barboza,saschafitness,4379732,2021-04-04 17:09:04 EDT,2021-04-04,17:09:04,Photo,"331,755",330174,1581,0,https://www.instagram.com/p/CNQjNFmAkMD/,https://www.instagram.com/p/CNQjNFmAkMD/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/169122934_764308410953120_7707068546247804284_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=MNmWprtjf3kAX_eshuH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8e29d4f1cdc1c09dc59e06ae23215f56&oe=609114D2,,"🎼🎶☀️“Sol solecito caliéntame un poquito, por hoy por mañana por toda la semana” 🎶☀️",,,,7.57,7.57,1.72
Diren Kartal,diren.kartal,209123,2021-03-23 09:13:35 EDT,2021-03-23,09:13:35,Photo,"15,704",15338,366,0,https://www.instagram.com/p/CMwzQCphAl8/,https://www.instagram.com/p/CMwzQCphAl8/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/163612981_361189485070472_4862238470399298664_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Bkh_ht3uxXIAX8PnCBw&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=e91bc76d3cc3bdd6b2a16e304e75ff1c&oe=60A580A1,,"If you know, you know ✊🏼

#neatup247","Diren kartal @Diren_k Το all women in the world, thickness is cool, thicknes is sexy and powerful, relax your batty",,,7.51,7.51,3.38
