name,gender,age,likeable,creative,emotionally balanced,extrovert,no-coherence,narcissus,temperamental,reliable,fitness_trust,other_trust,follow,reasons,category
therock,Άντρας,27,4,3,5,5,5,2,2,5,4,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
dade2shelby,Γυναίκα,28,4,5,2,4,1,4,4,3,2,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
officialdavidhallberg,Γυναίκα,24,4,4,5,2,4,1,2,4,4,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
thebodycoach,Γυναίκα,22,3,4,3,2,3,3,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,nutrition
fitmencook,Γυναίκα,22,4,5,3,3,2,2,2,3,3,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
ellena_fit,Γυναίκα,22,3,3,3,4,3,4,3,3,2,1,Όχι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,nutrition
sophiebrace_fit,Γυναίκα,25,4,3,5,3,2,2,1,5,5,2,Ναι,έχει ωραίο lifestyle,fitness_model
Juditmoreno22,Γυναίκα,25,2,1,2,5,1,5,4,3,2,1,Όχι,έχει ωραίο σώμα,fitness_model
schwarzenegger,Άντρας,28,4,4,2,3,3,3,3,5,4,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
Kaisafit,Γυναίκα,25,5,3,4,1,4,2,2,4,3,4,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
balletbeautiful,Γυναίκα,25,4,4,3,4,2,2,3,4,4,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
theballerina,Γυναίκα,25,4,5,3,5,1,2,3,5,3,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
kylehanagami,Γυναίκα,25,5,5,4,4,2,2,3,5,3,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
brandon__curry,Γυναίκα,25,4,1,4,4,4,2,2,3,4,1,Όχι,έχει ωραίο lifestyle,body_building
jojogomezxo,Γυναίκα,25,5,5,4,5,1,1,3,5,4,4,Ναι,"αναρτά ενδιαφέρον περιεχόμενο;she is a dancer and as I love dancing, I adore her choreos",dance
stevecook,Γυναίκα,23,3,2,3,4,2,4,2,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
autumnmiller,Γυναίκα,25,4,5,3,4,2,3,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
yarishna,Γυναίκα,23,2,2,2,4,1,4,3,2,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
mrolympia08,Γυναίκα,25,3,1,2,4,4,4,3,3,3,1,Όχι,Τιποτα,body_building
demibagby,Γυναίκα,23,4,4,3,5,2,4,3,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
markmeismer,Γυναίκα,25,4,5,3,4,2,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
Yarishna,Γυναίκα,26,2,2,2,5,5,5,2,4,4,1,Όχι,Δεν θα το ακόλουθουσα,body_building
flex_lewis,Γυναίκα,25,3,1,2,3,2,4,4,3,1,1,Όχι,Τιποτα,body_building
c.t.ali.fletcher,Γυναίκα,23,4,3,3,3,2,2,2,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
amandalacount,Γυναίκα,25,5,5,3,4,1,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
sommerray,Άντρας,28,4,4,3,4,3,4,1,5,4,4,Ναι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
demibagby,Γυναίκα,26,5,5,4,5,1,3,1,5,3,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
willdabeast__,Γυναίκα,25,3,4,3,4,3,2,3,3,2,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
amymarie,Γυναίκα,25,5,5,3,4,1,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
jamesbwhiteside,Γυναίκα,25,4,4,3,4,2,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
Hannaoeberg,Γυναίκα,22,3,4,3,5,2,2,2,4,4,3,Όχι,Motivation,fitness_model
Kaisafit,Γυναίκα,22,4,4,3,4,2,2,2,4,4,4,Όχι,Motivation,body_building
Frank_medrano,Γυναίκα,22,4,4,4,4,2,2,3,4,4,4,Όχι,Motivation,body_building
Yarishna,Γυναίκα,30,2,2,2,3,5,5,3,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
demibagby,Γυναίκα,30,4,4,4,3,1,3,2,4,4,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
Stevecook,Γυναίκα,30,3,2,2,4,4,5,3,3,2,1,Όχι,έχει ωραίο σώμα,body_building
Saschafitness,Γυναίκα,30,4,4,4,3,5,2,2,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,fitness_model
Andreideiu_,Γυναίκα,30,2,1,2,3,4,5,3,3,2,1,Όχι,έχει ωραίο σώμα,body_building
jeff_seid,Γυναίκα,30,1,1,1,4,5,5,4,2,2,1,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
ronniecoleman8,Γυναίκα,30,1,1,1,3,2,4,2,4,2,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
