hashtags,x,y
hotgirlsummersculpt,-0.03353079430054732,-0.01666058709004258
blogilates,-0.033530794300548526,-0.016660587090041847
hotgirlsummersculpt!,-0.03258306238023869,-0.015491082393792422
popflex,-0.0338924729465562,-0.017106755155643187
findthejoyinfitness,-0.0325830623802387,-0.015491082393790516
MarbleCollection!!!!!!!,-0.033298544651231186,-0.01639896986507887
stopasianhate!,-0.033478817560112756,-0.016564484170574517
secretdeopartner,-0.032475415946730216,-0.01536488839455206
allstrengthnosweat,-0.032202711784779514,-0.015072061155981505
internationalwomensday.,-0.0338924729465562,-0.0171067551556426
pilatessuspensionmethod,-0.03640141571333159,-0.023964621729936443
corechallenge,-0.0338924729465562,-0.01710675515564259
stottpilatesinstructor,-0.04777193804925493,-0.03517795506236689
pilatesmatwork,-0.05067264773253855,-0.015148534518447656
barrepilates,-0.046523033092234135,-0.033619452910067335
inversionjunkie,-0.04643157065402877,-0.03357625238981847
pilatesathome,-0.05034577118786825,-0.037234500012850745
pilatesandyoga,-0.04954678900414033,-0.037451391860340265
clubpilatesinstructor,-0.05071546602955618,-0.025070262213599585
pilatessuspension,-0.05104421226134076,-0.040040798832425714
pilatesstrong,-0.049400217868003166,-0.0378343526548665
pilatesexercise,-0.047546671850162696,-0.03618890969951374
headstandpractice,-0.0492922669845606,-0.037170403441098954
pilatesexercises,-0.04780004733363223,-0.035350256283022394
suspendedyoga,-0.050692647362921464,-0.037320174116558504
barrefit,-0.04802459383555944,-0.03522753925079713
matpilates,-0.05055604478178397,-0.024604974638577613
pilates949,-0.04987782662546559,-0.03973844145558633
clubpilates,-0.04587885640491059,-0.033653979197221975
inversionpractice,-0.04975560613319777,-0.02443797414613132
bodyweightworkouts,-0.04975427807913135,-0.0369764392681236
pilateschallenge,-0.051537304438483464,-0.026088962340869968
pilates,-0.0465463074974838,-0.031769200773371656
pilatesfit,-0.04421684810572771,-0.030278365170302676
headstandvariation,-0.0479903092471599,-0.0362366034950667
pilateswithprops,-0.05138758198168446,-0.04092165484999086
stottpilates,-0.04922689548463524,-0.03832629718408785
pilatesapp,-0.04935933780902638,-0.03758252922859349
yogafitness,-0.04751293863740327,-0.03640923331830424
lornajaneactive,-0.04553043380575658,-0.018069812336771983
lornajane,-0.05124402596576698,-0.03946300565955668
mobilityexercises,-0.04817314204570521,-0.03717614669697497
bodyweightworkout,-0.04968423068133004,-0.038108993373847606
hiitworkout,-0.04923354385504525,-0.03863703774102614
activewearaddict,-0.053895389508994786,-0.025097330774109174
pilatesfitness,-0.049132529931649675,-0.03646295734692118
bodyweightexercises,-0.05086312933079973,-0.03938639836219612
activewearforwomen,-0.05021001874435036,-0.03801344390280189
mobilitytraining,-0.04813998635208812,-0.03720824950175364
hiitcircuit,-0.04960147345061978,-0.03812574772489386
essenceyogi,-0.051318919835389096,-0.04077399337408445
pilatesflow,-0.05019672578872617,-0.038735621601807865
yogaabs,-0.049874016210496315,-0.03958467408659229
barrefitness,-0.050786283633762426,-0.025457118331741507
activewearfashion,-0.05242835545768193,-0.025727367017414914
pilatesteaser,-0.048208059490867594,-0.03671182391645996
yogaflow,-0.04724670171498278,-0.03562966507048559
barreabs,-0.049913811172620955,-0.037303552354481954
abexercises,-0.049668452456665874,-0.03709447133637851
teasertuesday,-0.050565239401621886,-0.04029858091078288
stabilitytraining,-0.05117833985285072,-0.0395025817382548
stabilityballworkouts,-0.05081543921584191,-0.039786642465103196
womensexercise,-0.05154613335101395,-0.04024059831247911
abworkout,-0.05039406869969229,-0.03872691049600639
swissballtraining,-0.039525129450185575,-0.01702560155608802
homepilates,-0.03938321032860057,-0.014600668263402606
swissball,-0.03924868972191909,-0.007254144411533289
stabilityball,-0.04178674959631817,-0.013765281088481532
virtualpilates,-0.01408843854533708,0.009342396515631657
coretraining,-0.044456212922280074,-0.004550733072818209
coreexercises,-0.04221887511411415,-0.015637882961777025
pilatesday,-0.04616704475276961,-0.007598243677737162
pilatescommunity,-0.04313976306666504,-0.0151971862439251
ownthecrown,-0.04197288107098477,0.001310710818380092
rethinkyourbra,-0.037902150003420246,-0.0037985193667722586
shefit,-0.04759318454218784,-0.00553985350354447
ad,-0.04141355622290543,-0.011180714074872733
coreworkouts,-0.033984708483337574,-0.015001615338079193
bikiniworkout,-0.0436927438150717,-0.01449594834062024
fitnessapp,-0.04602041712693455,-0.006299126480833537
beachsissi,-0.04611443644430027,-0.0002655122805765154
abchallenge,-0.039672887405181094,-0.016299001225857857
poolsidepilates,-0.03900360642277952,0.0017169816447699551
foamrollerpilates,-0.04795441021356652,0.0005701316772482204
homeworkout,-0.04381903257546493,0.00015967174972717136
foamrollerworkout,-0.036945047534541885,-0.005412443135118286
optp,-0.04479965220922089,0.0008556647183550079
foamroller,-0.04100866865855169,-0.0013951799314545362
livbody,-0.044328258228130656,0.0003418622686321825
dumbbellworkout,-0.041511478915599836,-0.000514220900883228
homefitnessforladies,0.0022313190804667585,0.008687238989223089
barreworkout,-0.03777367843618354,-0.0169748936661308
womensworkout,-0.03633347363959885,-0.013172394354206597
livbodyathlete,-0.03972964158534802,-0.013315356049932902
barresuspension,-0.03717697742646675,-0.007333588698236622
yogasuspension,-0.04299347621020415,-0.012749232141341844
pilatesworkshop,-0.04416962566899234,-0.0139339724809425
pilatescourse,-0.040854175525087064,-0.020567087641604826
pilatescourses,-0.04328756833336669,-0.014138762314666181
pilatesworkout,-0.038364757559583296,-0.01218863931594769
pilatesbook,-0.04183648922673736,-0.0035648338116638905
pilatesworks,-0.04493543990090271,-0.01420972599865575
nationalpilatescertificationprogram,-0.03469808669347801,-0.01565010070749498
pilatesworkshops,-0.007046182307135515,0.007914462524159269
zoompilates,-0.04515212222636816,0.00653450519117422
peachworkout,-0.038959627589680176,0.005663039957187819
womensfitnessmotivation,-0.04559554497802261,-0.0006443085443401413
homeworkouts,-0.03596065860518373,-0.015053018435954182
bootybands,-0.03991833058180512,-0.0029705670797394606
bootybandexercises,-0.04580152683819698,0.002259117669189285
bootybandworkout,-0.04546572155628669,0.0015945390285558587
womensfitness,-0.04022970345300149,-0.0019083747514491726
abworkouts,-0.003993011961511623,-0.01252243487964021
coreworkout,-0.043761380021508735,0.00045086451535170785
pilatesbooty,-0.03469808669347801,-0.01565010070749498
bootyworkout,-0.0417205653308107,-0.014212400202424941
spinecorrectorpilates,-0.033727092375416955,-0.004464695333917678
spinecorrector,-0.04104870810348956,0.01617503305421647
nebbia,-0.04327792518549543,-0.0024345109885561367
nebbiafitness,-0.048524891491921025,0.008091227514209428
cleoharper,-0.042687511164506656,-0.011772437960340948
pilateswithweights,-0.04314300867909268,-0.01160815754166397
femalefitnessmotivation,-0.04149773029118772,-0.010811401573822666
pilatestv,-0.042912784202178596,-0.011560199944640396
yogaandpilates,-0.04931908958891771,0.007290980043161398
divablocks,-0.05141522618561192,0.005887857066820985
yogablocks,-0.05082115725194217,0.009204222474018612
yogablockexercise,-0.04582124010445567,0.020690062587840227
yogablock,-0.051377212968324065,0.0062066168579174375
pilatesbrazil,-0.04872889391808291,0.0039193660409321115
inversions,-0.051627881469257106,0.00640258671958599
handstandpractice,-0.051244478214452154,0.008228928965842909
suspensionbarre,-0.040476287976824024,-0.013915043731476662
fitnessbook,-0.05187158866053328,0.0093401252613323
suspensionpilates,-0.043730920586643005,-0.0077155498785160875
lilybod,-0.041460103196866924,-0.01330983048641294
lilybodbabe,-0.04350177225395677,-0.01295975553282452
pilatesinstructor,-0.041497224701711105,-0.0021371830141416457
pilatesteacher,-0.048308715842808235,0.0047327265717804915
pilatesmat,-0.04828105767675555,0.017030828889747916
powerpilates,-0.04009591077875031,-0.014804619186611061
pilatescertification,-0.048352044824479905,0.017895342610993993
pilatesbody,-0.049113164207407425,0.02053232055797341
suspendedpilates,-0.04660130388853093,0.01877196725009481
pilatescore,-0.047885979820995454,0.00037487638048841904
yogaflows,-0.013824020172737983,0.018767668804737975
cleoharperactivewear,-0.013507624425162847,0.01584901293181136
bosupilates,-0.013615244803621708,0.015854812425379033
bosuballworkout,-0.03204403933040188,-0.01490488572338976
bosuball,-0.032044039330403784,-0.014904885722590211
bootyband,-0.03307356643258633,-0.016028528706967724
goodhyouman,-0.03307356643258633,-0.016028528706967724
bootybandsworkout,-0.03307356643258633,-0.016028528706967724
stabilityballworkout,-0.03307356643258633,-0.016028528706967724
womenslegworkout,-0.05001569162137165,-0.003896116897385439
marchmatness,-0.05078985609493615,0.006645647054468993
unilaterallegtraining,-0.04586848887035453,-0.005883407666884844
marchmatness2021,-0.03894938451654431,-0.014360106627350877
bootyexercises,-0.04723916826412707,0.00511202573298224
splitprogress,-0.0468800945466779,-0.006323992727444317
pilatessale,-0.049102866937517246,-0.004453209766184031
reformerpilates,-0.05128589517712164,0.007887371077836733
backbendpractice,-0.05034336888013507,-0.0049429137692248845
backbendchallenge,-0.04293713769901299,0.001905666296117492
reformerworkout,-0.04982471650400912,-0.004587316555534229
waybetterapp,-0.04982471650400912,-0.004587316555534229
yogafit,-0.04578112233081512,-0.007104535654713782
ankleweights,-0.046280452049070116,-0.003500005670315487
ankleweightsworkout,-0.04991083483830948,0.006017009464002418
yogagfitness,-0.04808637287810755,-0.004893800556469902
backbend,-0.04689485707500612,-0.005385943578042309
backbendlove,-0.04401829724149965,-0.0053410322997056335
athleticpilates,-0.04956906660550021,-0.0050749738948606335
pilatesyoutube,-0.04846109774854572,0.004187583595042104
swimsuitfashion,-0.050290945616175635,-0.004532252422348253
resistancebands,-0.051078206719591505,-0.0019374607830720684
resistancebandsworkout,-0.04332659096225354,-0.006122269399664681
resistancetraining,-0.04784265550522934,0.0030651704942352823
infinityloop,-0.0499188170326647,-0.005056269005971906
magiccircle,-0.044556102051515424,0.005467847649325516
fitnesscircle,-0.04412670416321226,0.004444367008647201
sanosfitness,-0.04956906660550021,-0.0050749738948606335
barre,-0.049099609142208206,0.0046988619388424
pilatesclasses,-0.04740252197363394,0.005635822284917672
virtualstudio,-0.04653418777876725,-0.004165444812079397
virtualpilatesclasses,-0.04873794877973039,-0.005803925382601813
mobilitywork,-0.04852640963401169,0.004249838244707269
psm,-0.048571747443729794,-0.004771968645717159
foamrolling,-0.04754280608303038,-0.0049597481883234444
dumbbellhomeworkout,-0.04666022379299228,0.004372581157047221
dumbbellworkouts,-0.050002118698851794,-0.005041328284693872
pilatesbooks,-0.04824370210864998,0.004089972402637564
pilatesglobal,-0.043984757463949864,-0.00339453756581851
pilatesworld,-0.04943657621569389,-0.0053701391392747475
bootybarreburn,-0.046861446639432994,0.0024132712933787677
cardiobarre,-0.049179818559435914,-0.004912327007554355
bootybarre,-0.049099609142208206,0.0046988619388424
barrebody,-0.050099218640112166,-0.00501243406316139
pilateshiit,0.045998793894157196,-0.014912454598081588
legworkout,-0.0025340675955807857,0.03048026129820523
legs,0.06862260456214368,-0.014724987047446236
fitnesstrainer,-0.0009795710905865383,0.010945643813643552
barrelovers,-0.03665718479212197,0.0029438748874220807
homeworkouts_4u,-0.040875754533124024,0.006022246685286695
pilateslife,0.0009280488000507671,0.030866935398052454
bodybarre,0.002636163756613385,0.00156516205564644
traceymallett,-0.004554552962146838,0.0028024925000862057
homeworkoutvideos,-0.0009554966821634952,-0.015360671791656033
barreblend,-0.003765915492002107,0.02765209656265104
fitmoms,-0.005697397445384083,0.030659085792520226
barreinstructor,-0.04085084550617896,-0.019643322001620937
lowerbodyworkout,-0.04025987375247795,-0.017823871030743545
fitmommy,-0.03723840709342336,-0.020000268789859676
legday,-0.0401005218087175,-0.02140943222742388
postureexercjses,-0.04305185251288892,-0.0076923578933038965
glutesfordays,-0.04305185251288892,-0.0076923578933038965
posturematters,-0.04305185251288892,-0.0076923578933038965
glutesworkout,-0.0434858471410714,-0.006404916402523573
