timestamp,name,gender,age,συμπαθές,δημιουργικό,ήρεμο/συναισθηματικά ισορροπημένο,εξωστρεφές,συνοχή,εγωκεντρικό / νάρκισσος,ευέξαπτο,αξιόπιστο / σωστός επαγγελματίας,εμπιστευόμουν για θέματα fitness,εμπιστευόμουν για τομέα διαφορετικό,follow,reasons,category
2021/05/01 10:55:09 π.μ. GMT+3,therock,Άντρας,27,4,3,5,5,5,2,2,5,4,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 10:55:44 π.μ. GMT+3,dade2shelby,Γυναίκα,28,4,5,2,4,1,4,4,3,2,3,Όχι,αναρτά ενδιαφέρον περιεχόμενο,yoga
2021/05/01 10:55:45 π.μ. GMT+3,officialdavidhallberg,Γυναίκα,24,4,4,5,2,4,1,2,4,4,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 3:37:39 μ.μ. GMT+3,thebodycoach,Γυναίκα,22,3,4,3,2,3,3,2,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,nutrition
2021/05/01 3:42:18 μ.μ. GMT+3,fitmencook,Γυναίκα,22,4,5,3,3,2,2,2,3,3,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,nutrition
2021/05/01 3:50:54 μ.μ. GMT+3,ellena_fit,Γυναίκα,22,3,3,3,4,3,4,3,3,2,1,Όχι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,nutrition
2021/05/01 4:20:43 μ.μ. GMT+3,sophiebrace_fit,Γυναίκα,25,4,3,5,3,2,2,1,5,5,2,Ναι,έχει ωραίο lifestyle,fitness_model
2021/05/01 4:25:33 μ.μ. GMT+3,Juditmoreno22 ,Γυναίκα,25,2,1,2,5,1,5,4,3,2,1,Όχι,έχει ωραίο σώμα,fitness_model
2021/05/01 4:26:09 μ.μ. GMT+3,Scwarzenegger,Άντρας,28,4,4,2,3,3,3,3,5,4,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 4:30:13 μ.μ. GMT+3,Kaisafit,Γυναίκα,25,5,3,4,1,4,2,2,4,3,4,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 4:30:56 μ.μ. GMT+3,balletbeautiful,Γυναίκα,25,4,4,3,4,2,2,3,4,4,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:33:33 μ.μ. GMT+3,theballerina,Γυναίκα,25,4,5,3,5,1,2,3,5,3,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:34:55 μ.μ. GMT+3,kylehanagami,Γυναίκα,25,5,5,4,4,2,2,3,5,3,4,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:34:58 μ.μ. GMT+3,espana927,Γυναίκα,23,3,2,3,3,1,4,3,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 4:35:27 μ.μ. GMT+3,brandon__curry,Γυναίκα,25,4,1,4,4,4,2,2,3,4,1,Όχι,έχει ωραίο lifestyle,body_building
2021/05/01 4:36:54 μ.μ. GMT+3,jojogomezxo,Γυναίκα,25,5,5,4,5,1,1,3,5,4,4,Ναι,"αναρτά ενδιαφέρον περιεχόμενο;she is a dancer and as I love dancing, I adore her choreos",dance
2021/05/01 4:37:35 μ.μ. GMT+3,stevecook,Γυναίκα,23,3,2,3,4,2,4,2,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 4:39:25 μ.μ. GMT+3,autumnmiller,Γυναίκα,25,4,5,3,4,2,3,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:39:29 μ.μ. GMT+3,yarishna,Γυναίκα,23,2,2,2,4,1,4,3,2,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 4:40:13 μ.μ. GMT+3,mrolympia08 ,Γυναίκα,25,3,1,2,4,4,4,3,3,3,1,Όχι,Τιποτα,body_building
2021/05/01 4:40:26 μ.μ. GMT+3,Espana927,Γυναίκα,26,3,3,3,5,5,5,2,2,1,1,Όχι,Απλά αν κάτι με υποχρέωνε να το ακολουθήσω. Ειδάλλως δεν θα ενδιαφερομουν να βλέπω αναρτήσεις του συγκεκριμένου λογαριασμού ,
2021/05/01 4:42:28 μ.μ. GMT+3,demibagby,Γυναίκα,23,4,4,3,5,2,4,3,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 4:42:46 μ.μ. GMT+3,markmeismer,Γυναίκα,25,4,5,3,4,2,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:43:02 μ.μ. GMT+3,Yarishna,Γυναίκα,26,2,2,2,5,5,5,2,4,4,1,Όχι,Δεν θα το ακόλουθουσα,body_building
2021/05/01 4:43:28 μ.μ. GMT+3,flex_luis,Γυναίκα,25,3,1,2,3,2,4,4,3,1,1,Όχι,Τιποτα,
2021/05/01 4:44:31 μ.μ. GMT+3,c.t.ali.fletcher,Γυναίκα,23,4,3,3,3,2,2,2,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 4:44:59 μ.μ. GMT+3,amandalacount,Γυναίκα,25,5,5,3,4,1,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:46:23 μ.μ. GMT+3,Somerray,Άντρας,28,4,4,3,4,3,4,1,5,4,4,Ναι,αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 4:46:24 μ.μ. GMT+3,Demybagby,Γυναίκα,26,5,5,4,5,1,3,1,5,3,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 4:48:43 μ.μ. GMT+3,willdabeast__,Γυναίκα,25,3,4,3,4,3,2,3,3,2,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:52:37 μ.μ. GMT+3,amymarie,Γυναίκα,25,5,5,3,4,1,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 4:55:12 μ.μ. GMT+3,jamesbwhiteside,Γυναίκα,25,4,4,3,4,2,2,3,4,2,2,Ναι,έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,dance
2021/05/01 5:13:28 μ.μ. GMT+3,Hannaoeberg ,Γυναίκα,22,3,4,3,5,2,2,2,4,4,3,Όχι,Motivation,fitness_model
2021/05/01 5:15:28 μ.μ. GMT+3,Kaisafit ,Γυναίκα,22,4,4,3,4,2,2,2,4,4,4,Όχι,Motivation ,body_building
2021/05/01 5:17:10 μ.μ. GMT+3,Frank_medrano,Γυναίκα,22,4,4,4,4,2,2,3,4,4,4,Όχι,Motivation,body_building
2021/05/01 5:24:39 μ.μ. GMT+3,Egw,Γυναίκα,27,5,5,4,2,3,1,2,4,3,2,Ναι,αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 5:38:57 μ.μ. GMT+3,espana927,Γυναίκα,30,3,3,2,4,3,4,4,1,1,1,Όχι,έχει ωραίο σώμα,
2021/05/01 5:42:31 μ.μ. GMT+3,Yarishna,Γυναίκα,30,2,2,2,3,5,5,3,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/01 5:44:26 μ.μ. GMT+3,Demibagby,Γυναίκα,30,4,4,4,3,1,3,2,4,4,2,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/01 5:46:28 μ.μ. GMT+3,Stevecook,Γυναίκα,30,3,2,2,4,4,5,3,3,2,1,Όχι,έχει ωραίο σώμα,body_building
2021/05/01 5:48:09 μ.μ. GMT+3,Saschafitness,Γυναίκα,30,4,4,4,3,5,2,2,5,5,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,fitness_model
2021/05/01 5:50:14 μ.μ. GMT+3,Andreideiu_,Γυναίκα,30,2,1,2,3,4,5,3,3,2,1,Όχι,έχει ωραίο σώμα,body_building
2021/05/01 5:53:00 μ.μ. GMT+3,Jeff seid,Γυναίκα,30,1,1,1,4,5,5,4,2,2,1,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,
2021/05/01 5:54:35 μ.μ. GMT+3,Ronnie Coleman,Γυναίκα,30,1,1,1,3,2,4,2,4,2,2,Όχι,αναρτά ενδιαφέρον περιεχόμενο,
2021/05/01 5:56:31 μ.μ. GMT+3,Bradleymartyn,Γυναίκα,30,3,2,3,3,3,4,2,3,3,1,Όχι,έχει ωραίο lifestyle,body_building
2021/05/01 5:58:18 μ.μ. GMT+3,Philheath,Γυναίκα,30,1,1,2,3,2,5,3,3,2,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
